From_Category,To_Category,Percentage_of_finished_paths,Percentage_of_unfinished_paths
C0002,C0098,57.142857142857146,42.857142857142854
C0002,C0099,0.0,100.0
C0002,C0103,33.333333333333336,66.66666666666667
C0002,C0104,50.0,50.0
C0002,C0105,90.0,10.0
C0002,C0107,50.0,50.0
C0002,C0108,75.0,25.0
C0002,C0109,100.0,0.0
C0002,C0110,75.0,25.0
C0002,C0111,66.66666666666667,33.333333333333336
C0002,C0112,0.0,100.0
C0002,C0113,50.0,50.0
C0002,C0114,90.0,10.0
C0002,C0115,66.66666666666667,33.333333333333336
C0002,C0117,57.89473684210526,42.10526315789474
C0002,C0118,72.72727272727273,27.272727272727273
C0002,C0119,74.28571428571429,25.714285714285715
C0002,C0120,50.0,50.0
C0002,C0121,75.0,25.0
C0002,C0122,100.0,0.0
C0002,C0123,88.88888888888889,11.11111111111111
C0002,C0124,100.0,0.0
C0002,C0127,50.0,50.0
C0002,C0128,50.0,50.0
C0002,C0129,22.22222222222222,77.77777777777777
C0002,C0130,80.0,20.0
C0002,C0131,100.0,0.0
C0002,C0132,66.66666666666667,33.333333333333336
C0002,C0133,56.25,43.75
C0002,C0134,57.89473684210526,42.10526315789474
C0002,C0135,50.0,50.0
C0002,C0136,100.0,0.0
C0002,C0137,60.810810810810814,39.189189189189186
C0002,C0138,42.857142857142854,57.142857142857146
C0002,C0139,90.0,10.0
C0002,C0140,33.333333333333336,66.66666666666667
C0002,C0141,66.66666666666667,33.333333333333336
C0002,C0143,42.857142857142854,57.142857142857146
C0002,C0144,83.33333333333333,16.666666666666668
C0002,C0145,100.0,0.0
C0002,C0146,72.72727272727273,27.272727272727273
C0003,C0001,70.08547008547009,29.914529914529915
C0003,C0002,77.77777777777777,22.22222222222222
C0003,C0003,75.0,25.0
C0003,C0004,68.96551724137932,31.03448275862069
C0003,C0005,90.81632653061224,9.183673469387756
C0003,C0006,50.87719298245614,49.12280701754386
C0003,C0007,64.23841059602648,35.76158940397351
C0003,C0008,81.73374613003097,18.26625386996904
C0003,C0009,70.16129032258064,29.838709677419356
C0003,C0010,74.28571428571429,25.714285714285715
C0003,C0011,58.62068965517241,41.37931034482759
C0003,C0012,66.66666666666667,33.333333333333336
C0003,C0013,50.0,50.0
C0003,C0014,72.15189873417721,27.848101265822784
C0003,C0015,69.6969696969697,30.303030303030305
C0003,C0016,66.87306501547988,33.126934984520126
C0003,C0017,77.77777777777777,22.22222222222222
C0003,C0019,80.0,20.0
C0003,C0020,78.78787878787878,21.21212121212121
C0003,C0021,25.0,75.0
C0003,C0022,100.0,0.0
C0003,C0023,50.0,50.0
C0003,C0024,57.142857142857146,42.857142857142854
C0003,C0025,0.0,100.0
C0003,C0026,66.66666666666667,33.333333333333336
C0003,C0027,100.0,0.0
C0003,C0028,83.33333333333333,16.666666666666668
C0003,C0029,80.0,20.0
C0003,C0030,66.66666666666667,33.333333333333336
C0003,C0031,68.18181818181819,31.818181818181817
C0003,C0032,63.63636363636363,36.36363636363637
C0003,C0033,64.28571428571429,35.714285714285715
C0003,C0034,61.111111111111114,38.888888888888886
C0003,C0035,8.333333333333334,91.66666666666667
C0003,C0036,50.0,50.0
C0003,C0037,33.333333333333336,66.66666666666667
C0003,C0038,85.0,15.0
C0003,C0039,57.142857142857146,42.857142857142854
C0003,C0040,50.0,50.0
C0003,C0041,81.25,18.75
C0003,C0042,63.1578947368421,36.8421052631579
C0003,C0043,0.0,100.0
C0003,C0044,33.333333333333336,66.66666666666667
C0003,C0045,66.66666666666667,33.333333333333336
C0003,C0046,62.5,37.5
C0003,C0047,100.0,0.0
C0003,C0048,0.0,100.0
C0003,C0049,80.85106382978724,19.148936170212767
C0003,C0050,100.0,0.0
C0003,C0051,89.28571428571429,10.714285714285714
C0003,C0052,90.47619047619048,9.523809523809524
C0003,C0053,86.36363636363636,13.636363636363637
C0003,C0054,88.88888888888889,11.11111111111111
C0003,C0055,90.0,10.0
C0003,C0056,77.77777777777777,22.22222222222222
C0003,C0057,80.0,20.0
C0003,C0058,83.33333333333333,16.666666666666668
C0003,C0059,72.0,28.0
C0003,C0060,33.333333333333336,66.66666666666667
C0003,C0061,44.44444444444444,55.55555555555556
C0003,C0062,79.54545454545455,20.454545454545453
C0003,C0063,33.333333333333336,66.66666666666667
C0003,C0064,80.0,20.0
C0003,C0065,58.8235294117647,41.1764705882353
C0003,C0067,69.23076923076923,30.76923076923077
C0003,C0068,85.18518518518519,14.814814814814815
C0003,C0070,71.42857142857143,28.571428571428573
C0003,C0071,100.0,0.0
C0003,C0072,61.904761904761905,38.095238095238095
C0003,C0073,25.0,75.0
C0003,C0074,85.71428571428571,14.285714285714286
C0003,C0075,100.0,0.0
C0003,C0076,100.0,0.0
C0003,C0078,80.76923076923077,19.23076923076923
C0003,C0079,33.333333333333336,66.66666666666667
C0003,C0080,0.0,100.0
C0003,C0081,100.0,0.0
C0003,C0082,66.66666666666667,33.333333333333336
C0003,C0083,33.333333333333336,66.66666666666667
C0003,C0084,28.571428571428573,71.42857142857143
C0003,C0085,100.0,0.0
C0003,C0086,66.66666666666667,33.333333333333336
C0003,C0087,81.81818181818181,18.181818181818183
C0003,C0088,50.0,50.0
C0003,C0089,0.0,100.0
C0003,C0090,50.0,50.0
C0003,C0091,50.0,50.0
C0003,C0092,0.0,100.0
C0003,C0093,100.0,0.0
C0003,C0094,50.0,50.0
C0003,C0095,100.0,0.0
C0003,C0096,100.0,0.0
C0003,C0097,80.0,20.0
C0003,C0098,80.0,20.0
C0003,C0099,85.71428571428571,14.285714285714286
C0003,C0100,50.0,50.0
C0003,C0101,16.666666666666668,83.33333333333333
C0003,C0102,61.53846153846154,38.46153846153846
C0003,C0103,76.92307692307692,23.076923076923077
C0003,C0104,75.0,25.0
C0003,C0105,88.88888888888889,11.11111111111111
C0003,C0106,0.0,100.0
C0003,C0107,75.0,25.0
C0003,C0108,22.22222222222222,77.77777777777777
C0003,C0109,80.0,20.0
C0003,C0110,84.61538461538461,15.384615384615385
C0003,C0111,60.0,40.0
C0003,C0112,50.0,50.0
C0003,C0113,90.0,10.0
C0003,C0114,20.0,80.0
C0003,C0115,60.0,40.0
C0003,C0116,75.0,25.0
C0003,C0117,61.0,39.0
C0003,C0118,82.8125,17.1875
C0003,C0119,70.96774193548387,29.032258064516128
C0003,C0120,79.16666666666667,20.833333333333332
C0003,C0121,87.5,12.5
C0003,C0122,92.0,8.0
C0003,C0123,100.0,0.0
C0003,C0124,87.5,12.5
C0003,C0125,25.0,75.0
C0003,C0126,69.23076923076923,30.76923076923077
C0003,C0127,75.0,25.0
C0003,C0128,100.0,0.0
C0003,C0129,59.375,40.625
C0003,C0130,66.66666666666667,33.333333333333336
C0003,C0131,50.0,50.0
C0003,C0132,78.26086956521739,21.73913043478261
C0003,C0133,58.333333333333336,41.666666666666664
C0003,C0134,40.0,60.0
C0003,C0135,61.36363636363637,38.63636363636363
C0003,C0136,83.33333333333333,16.666666666666668
C0003,C0137,56.41025641025641,43.58974358974359
C0003,C0138,70.58823529411765,29.41176470588235
C0003,C0139,91.42857142857143,8.571428571428571
C0003,C0140,72.72727272727273,27.272727272727273
C0003,C0141,100.0,0.0
C0003,C0143,64.70588235294117,35.294117647058826
C0003,C0144,71.42857142857143,28.571428571428573
C0003,C0145,76.47058823529412,23.529411764705884
C0003,C0146,71.42857142857143,28.571428571428573
C0004,C0001,68.9020586400499,31.097941359950095
C0004,C0002,56.25,43.75
C0004,C0003,63.513513513513516,36.486486486486484
C0004,C0004,73.07692307692308,26.923076923076923
C0004,C0005,87.39837398373983,12.601626016260163
C0004,C0006,64.74358974358974,35.256410256410255
C0004,C0007,65.17647058823529,34.8235294117647
C0004,C0008,78.73183619550859,21.268163804491415
C0004,C0009,68.47826086956522,31.52173913043478
C0004,C0010,79.66101694915254,20.338983050847457
C0004,C0011,60.60606060606061,39.39393939393939
C0004,C0012,63.888888888888886,36.111111111111114
C0004,C0013,37.03703703703704,62.96296296296296
C0004,C0014,61.73184357541899,38.26815642458101
C0004,C0015,71.60493827160494,28.395061728395063
C0004,C0016,69.11764705882354,30.88235294117647
C0004,C0017,56.25,43.75
C0004,C0019,63.333333333333336,36.666666666666664
C0004,C0020,46.15384615384615,53.84615384615385
C0004,C0021,77.77777777777777,22.22222222222222
C0004,C0022,68.18181818181819,31.818181818181817
C0004,C0023,50.0,50.0
C0004,C0024,37.5,62.5
C0004,C0025,41.666666666666664,58.333333333333336
C0004,C0026,83.33333333333333,16.666666666666668
C0004,C0027,83.33333333333333,16.666666666666668
C0004,C0028,94.44444444444444,5.555555555555555
C0004,C0029,100.0,0.0
C0004,C0030,60.0,40.0
C0004,C0031,68.75,31.25
C0004,C0032,64.28571428571429,35.714285714285715
C0004,C0033,90.47619047619048,9.523809523809524
C0004,C0034,68.29268292682927,31.70731707317073
C0004,C0035,42.857142857142854,57.142857142857146
C0004,C0036,0.0,100.0
C0004,C0037,22.22222222222222,77.77777777777777
C0004,C0038,67.85714285714286,32.142857142857146
C0004,C0039,72.72727272727273,27.272727272727273
C0004,C0040,66.66666666666667,33.333333333333336
C0004,C0041,57.407407407407405,42.592592592592595
C0004,C0042,69.53125,30.46875
C0004,C0043,29.41176470588235,70.58823529411765
C0004,C0044,44.44444444444444,55.55555555555556
C0004,C0045,76.0,24.0
C0004,C0046,91.66666666666667,8.333333333333334
C0004,C0047,100.0,0.0
C0004,C0048,53.84615384615385,46.15384615384615
C0004,C0049,90.0,10.0
C0004,C0050,33.333333333333336,66.66666666666667
C0004,C0051,86.11111111111111,13.88888888888889
C0004,C0052,77.27272727272727,22.727272727272727
C0004,C0053,90.0,10.0
C0004,C0054,76.59574468085107,23.404255319148938
C0004,C0055,80.1980198019802,19.801980198019802
C0004,C0056,67.1875,32.8125
C0004,C0057,75.0,25.0
C0004,C0058,80.0,20.0
C0004,C0059,68.51851851851852,31.48148148148148
C0004,C0060,80.0,20.0
C0004,C0061,60.0,40.0
C0004,C0062,73.84615384615384,26.153846153846153
C0004,C0063,70.58823529411765,29.41176470588235
C0004,C0064,50.0,50.0
C0004,C0065,72.72727272727273,27.272727272727273
C0004,C0066,50.0,50.0
C0004,C0067,69.66292134831461,30.337078651685392
C0004,C0068,65.625,34.375
C0004,C0069,80.0,20.0
C0004,C0070,50.0,50.0
C0004,C0071,83.33333333333333,16.666666666666668
C0004,C0072,40.0,60.0
C0004,C0073,74.19354838709677,25.806451612903224
C0004,C0074,82.6086956521739,17.391304347826086
C0004,C0075,83.33333333333333,16.666666666666668
C0004,C0076,72.22222222222223,27.77777777777778
C0004,C0077,0.0,100.0
C0004,C0078,92.0,8.0
C0004,C0079,75.0,25.0
C0004,C0080,6.666666666666667,93.33333333333333
C0004,C0081,93.33333333333333,6.666666666666667
C0004,C0082,100.0,0.0
C0004,C0083,33.333333333333336,66.66666666666667
C0004,C0084,42.857142857142854,57.142857142857146
C0004,C0085,58.8235294117647,41.1764705882353
C0004,C0086,64.70588235294117,35.294117647058826
C0004,C0087,33.333333333333336,66.66666666666667
C0004,C0088,50.0,50.0
C0004,C0089,28.571428571428573,71.42857142857143
C0004,C0090,55.55555555555556,44.44444444444444
C0004,C0091,23.076923076923077,76.92307692307692
C0004,C0092,60.0,40.0
C0004,C0093,69.23076923076923,30.76923076923077
C0004,C0094,75.0,25.0
C0004,C0095,75.0,25.0
C0004,C0096,62.5,37.5
C0004,C0097,16.666666666666668,83.33333333333333
C0004,C0098,60.97560975609756,39.02439024390244
C0004,C0099,84.61538461538461,15.384615384615385
C0004,C0100,20.0,80.0
C0004,C0101,53.84615384615385,46.15384615384615
C0004,C0102,83.33333333333333,16.666666666666668
C0004,C0103,70.58823529411765,29.41176470588235
C0004,C0104,60.0,40.0
C0004,C0105,83.6734693877551,16.3265306122449
C0004,C0106,50.0,50.0
C0004,C0107,70.83333333333333,29.166666666666668
C0004,C0108,18.51851851851852,81.48148148148148
C0004,C0109,81.25,18.75
C0004,C0110,43.47826086956522,56.52173913043478
C0004,C0111,68.75,31.25
C0004,C0112,37.5,62.5
C0004,C0113,83.33333333333333,16.666666666666668
C0004,C0114,81.81818181818181,18.181818181818183
C0004,C0115,72.72727272727273,27.272727272727273
C0004,C0116,57.142857142857146,42.857142857142854
C0004,C0117,63.22701688555347,36.77298311444653
C0004,C0118,77.77777777777777,22.22222222222222
C0004,C0119,78.0,22.0
C0004,C0120,94.11764705882354,5.882352941176471
C0004,C0121,86.36363636363636,13.636363636363637
C0004,C0122,92.45283018867924,7.547169811320755
C0004,C0123,83.87096774193549,16.129032258064516
C0004,C0124,73.91304347826087,26.08695652173913
C0004,C0125,77.77777777777777,22.22222222222222
C0004,C0126,59.45945945945946,40.54054054054054
C0004,C0127,63.63636363636363,36.36363636363637
C0004,C0128,87.5,12.5
C0004,C0129,63.2183908045977,36.7816091954023
C0004,C0130,70.0,30.0
C0004,C0131,100.0,0.0
C0004,C0132,79.01234567901234,20.987654320987655
C0004,C0133,61.458333333333336,38.541666666666664
C0004,C0134,58.18181818181818,41.81818181818182
C0004,C0135,52.27272727272727,47.72727272727273
C0004,C0136,76.92307692307692,23.076923076923077
C0004,C0137,55.714285714285715,44.285714285714285
C0004,C0138,75.0,25.0
C0004,C0139,79.0909090909091,20.90909090909091
C0004,C0140,76.47058823529412,23.529411764705884
C0004,C0141,66.66666666666667,33.333333333333336
C0004,C0142,70.0,30.0
C0004,C0143,88.57142857142857,11.428571428571429
C0004,C0144,69.11764705882354,30.88235294117647
C0004,C0145,59.09090909090909,40.90909090909091
C0004,C0146,87.09677419354838,12.903225806451612
C0005,C0001,67.94539891739232,32.054601082607675
C0005,C0002,59.09090909090909,40.90909090909091
C0005,C0003,67.03296703296704,32.967032967032964
C0005,C0004,62.5,37.5
C0005,C0005,88.15028901734104,11.84971098265896
C0005,C0006,60.13986013986014,39.86013986013986
C0005,C0007,58.11965811965812,41.88034188034188
C0005,C0008,79.1005291005291,20.8994708994709
C0005,C0009,71.95767195767196,28.04232804232804
C0005,C0010,63.41463414634146,36.58536585365854
C0005,C0011,65.95744680851064,34.04255319148936
C0005,C0012,82.75862068965517,17.24137931034483
C0005,C0013,61.904761904761905,38.095238095238095
C0005,C0014,65.4296875,34.5703125
C0005,C0015,78.0,22.0
C0005,C0016,63.57142857142857,36.42857142857143
C0005,C0017,59.09090909090909,40.90909090909091
C0005,C0019,70.96774193548387,29.032258064516128
C0005,C0020,64.0,36.0
C0005,C0021,85.71428571428571,14.285714285714286
C0005,C0022,54.54545454545455,45.45454545454545
C0005,C0023,26.666666666666668,73.33333333333333
C0005,C0024,28.571428571428573,71.42857142857143
C0005,C0025,40.0,60.0
C0005,C0026,28.571428571428573,71.42857142857143
C0005,C0027,50.0,50.0
C0005,C0028,85.71428571428571,14.285714285714286
C0005,C0029,70.0,30.0
C0005,C0030,86.36363636363636,13.636363636363637
C0005,C0031,62.06896551724138,37.93103448275862
C0005,C0032,85.71428571428571,14.285714285714286
C0005,C0033,57.89473684210526,42.10526315789474
C0005,C0034,58.490566037735846,41.509433962264154
C0005,C0035,48.0,52.0
C0005,C0036,50.0,50.0
C0005,C0037,25.0,75.0
C0005,C0038,70.45454545454545,29.545454545454547
C0005,C0039,80.0,20.0
C0005,C0040,53.191489361702125,46.808510638297875
C0005,C0041,52.94117647058823,47.05882352941177
C0005,C0042,61.111111111111114,38.888888888888886
C0005,C0043,31.25,68.75
C0005,C0044,53.84615384615385,46.15384615384615
C0005,C0045,76.74418604651163,23.25581395348837
C0005,C0046,76.0,24.0
C0005,C0047,70.0,30.0
C0005,C0048,24.324324324324323,75.67567567567568
C0005,C0049,80.3030303030303,19.696969696969695
C0005,C0050,61.53846153846154,38.46153846153846
C0005,C0051,85.22727272727273,14.772727272727273
C0005,C0052,71.9298245614035,28.07017543859649
C0005,C0053,88.125,11.875
C0005,C0054,73.25581395348837,26.74418604651163
C0005,C0055,89.26174496644295,10.738255033557047
C0005,C0056,75.29411764705883,24.705882352941178
C0005,C0057,76.19047619047619,23.80952380952381
C0005,C0058,81.63265306122449,18.367346938775512
C0005,C0059,69.56521739130434,30.434782608695652
C0005,C0060,66.66666666666667,33.333333333333336
C0005,C0061,57.142857142857146,42.857142857142854
C0005,C0062,77.77777777777777,22.22222222222222
C0005,C0063,54.54545454545455,45.45454545454545
C0005,C0064,81.81818181818181,18.181818181818183
C0005,C0065,71.76470588235294,28.235294117647058
C0005,C0066,50.0,50.0
C0005,C0067,71.2,28.8
C0005,C0068,82.25806451612904,17.741935483870968
C0005,C0069,80.0,20.0
C0005,C0070,77.55102040816327,22.448979591836736
C0005,C0071,81.81818181818181,18.181818181818183
C0005,C0072,56.25,43.75
C0005,C0073,45.45454545454545,54.54545454545455
C0005,C0074,86.36363636363636,13.636363636363637
C0005,C0075,44.44444444444444,55.55555555555556
C0005,C0076,36.36363636363637,63.63636363636363
C0005,C0077,100.0,0.0
C0005,C0078,80.0,20.0
C0005,C0079,75.0,25.0
C0005,C0080,23.076923076923077,76.92307692307692
C0005,C0081,91.48936170212765,8.51063829787234
C0005,C0082,87.5,12.5
C0005,C0083,66.66666666666667,33.333333333333336
C0005,C0084,40.74074074074074,59.25925925925926
C0005,C0085,64.70588235294117,35.294117647058826
C0005,C0086,70.83333333333333,29.166666666666668
C0005,C0087,71.42857142857143,28.571428571428573
C0005,C0088,60.0,40.0
C0005,C0089,56.14035087719298,43.85964912280702
C0005,C0090,68.18181818181819,31.818181818181817
C0005,C0091,19.23076923076923,80.76923076923077
C0005,C0092,73.33333333333333,26.666666666666668
C0005,C0093,55.55555555555556,44.44444444444444
C0005,C0094,60.0,40.0
C0005,C0095,40.0,60.0
